    ID      Name        Seed      NumOptions                                              SolverGA                                                                                    SolverSA                                                                                  SolverMISOCP                                      
    __    _________    ______    _____________    ________________________________________________________________________________________    ________________________________________________________________________________________    ________________________________________________________________________________________
    24    "shape25"    "1518"    "1.21482e+19"    "30.00 [mins], 7.59e+02 [CA], 2.52e+01 [UCA], 2.52e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.52 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    25    "shape26"    "1841"    "1.94840e+19"    "17.81 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "01.77 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    26    "shape26"    "5440"    "1.94840e+19"    "30.00 [mins], 7.54e+02 [CA], 3.00e+01 [UCA], 2.51e+01 [OLA], 4.92e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.48e+02 [CA], 3.57e+01 [UCA], 3.42e+01 [OLA], 1.45e+00 [OSA], [Fail   ]"    "05.77 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    27    "shape26"    "1518"    "1.94840e+19"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.50e+02 [CA], 3.36e+01 [UCA], 3.36e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "03.87 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    28    "shape29"    "1841"    "3.38045e+19"    "30.00 [mins], 7.34e+02 [CA], 4.97e+01 [UCA], 4.97e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.35e+02 [CA], 4.90e+01 [UCA], 4.90e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.11 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    29    "shape29"    "5440"    "3.38045e+19"    "30.00 [mins], 7.56e+02 [CA], 2.78e+01 [UCA], 2.78e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.13 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    30    "shape29"    "1518"    "3.38045e+19"    "30.00 [mins], 7.53e+02 [CA], 3.09e+01 [UCA], 3.09e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.67e+02 [CA], 1.74e+01 [UCA], 1.74e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.24 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    31    "shape30"    "1841"    "1.35894e+18"    "09.13 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "20.16 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "00.69 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    32    "shape30"    "5440"    "1.35894e+18"    "22.26 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "00.09 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "00.44 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    33    "shape30"    "1518"    "1.35894e+18"    "30.00 [mins], 7.76e+02 [CA], 8.41e+00 [UCA], 8.41e+00 [OLA], 0.00e+00 [OSA], [Fail   ]"    "05.37 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"    "00.35 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    34    "shape31"    "1841"    "9.55957e+18"    "30.00 [mins], 7.51e+02 [CA], 3.27e+01 [UCA], 1.09e+01 [OLA], 2.18e+01 [OSA], [Fail   ]"    "30.00 [mins], 7.67e+02 [CA], 1.68e+01 [UCA], 1.68e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "00.77 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    35    "shape31"    "5440"    "9.55957e+18"    "30.00 [mins], 7.50e+02 [CA], 3.36e+01 [UCA], 3.36e+01 [OLA], 0.00e+00 [OSA], [Fail   ]"    "30.00 [mins], 6.99e+02 [CA], 8.50e+01 [UCA], 7.67e+01 [OLA], 8.35e+00 [OSA], [Fail   ]"    "00.20 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
    36    "shape31"    "1518"    "9.55957e+18"    "30.00 [mins], 7.59e+02 [CA], 2.45e+01 [UCA], 1.61e+01 [OLA], 8.41e+00 [OSA], [Fail   ]"    "30.00 [mins], 7.24e+02 [CA], 6.00e+01 [UCA], 3.77e+01 [OLA], 2.22e+01 [OSA], [Fail   ]"    "00.64 [mins], 7.84e+02 [CA], 0.00e+00 [UCA], 0.00e+00 [OLA], 0.00e+00 [OSA], [Success]"
